ano;num;conteudos;gabarito
2010;143;Geometria Espacial (Vistas e Perspectivas);D
2010;144;Probabilidade (Espaço Amostral);A
2010;145;Porcentagem / Interpretação de Tabelas;D
2010;146;Geometria Plana (Círculos e Arcos);C
2010;147;Equação do 1º Grau / Problemas de Contagem;D
2010;148;Estatística (Leitura de Gráficos de Setores);B
2010;149;Razão e Proporção (Escalas de Mapas);C
2010;150;Geometria Plana (Ladrilhamento / Polígonos);A
2010;151;Grandezas Inversamente Proporcionais;E
2010;152;Geometria Espacial (Projeção Ortogonal);B
2010;153;Análise Combinatória (Princípio Multiplicativo);B
2010;154;Trigonometria (Triângulo Retângulo);C
2010;155;Funções (Interpretação de Gráficos de Funções Periódicas);B
2010;156;Porcentagem e Operações com Decimais;E
2010;157;Geometria Plana (Teorema de Pitágoras);D
2010;158;Estatística (Média e Mediana);B
2010;159;Geometria Espacial (Volume de Troncos);C
2010;160;Logaritmos (Cálculo de Intensidade Sonora);E
2010;161;Progressão Aritmética (PA);B
2010;162;Geometria Plana (Área de Polígonos Regulares);A
2010;163;Matrizes (Organização de Dados);D
2010;164;Probabilidade de Eventos Sucessivos;C
2010;165;Razão e Proporção (Vazão e Tempo);A
2010;166;Geometria Espacial (Cilindros e Esferas);B
2010;167;Função do 2º Grau (Estudo do Vértice/Máximos);D
2010;168;Raciocínio Lógico / Aritmética Básica;C
2010;169;Geometria Analítica (Coordenadas Cartesianas);A
2010;170;Porcentagem (Aumentos e Descontos);E
2010;171;Estatística (Desvio Padrão e Variância);C
2010;172;Geometria Plana (Perímetros e Arcos);C
2010;173;Matemática Financeira (Juros Simples);A
2010;174;Análise Combinatória (Combinação);D
2010;175;Razão e Proporção (Densidade e Massa);E
2010;176;Geometria Espacial (Planificação e Cubo);B
2010;177;Funções (Domínio e Imagem);D
2010;178;Operações Básicas / Raciocínio Proporcional;C
2010;179;Geometria Espacial (Cálculo de Volume de Madeira/Sólidos Vazados);D
2010;180;Funções (Interpretação de Gráficos de Velocidade);C
2011;136;Sistema de numeração decimal, Leitura de instrumentos de medida;A
2011;137;Conversão de unidades, Sistema métrico decimal;B
2011;138;Logaritmos, Potências de base 10, Função logarítmica;E
2011;139;Números decimais, Valor absoluto, Comparação de medidas;E
2011;140;Porcentagem, Proporcionalidade, Conversão de unidades de volume;E
2011;141;Razão e proporção, Regra de três, Grandezas proporcionais;B
2011;142;Geometria plana, Perímetro, Área de retângulos;C
2011;143;Escala, Razão e proporção, Conversão de unidades;E
2011;144;Geometria espacial, Simetria, Poliedros;E
2011;145;Estatística, Média, Mediana, Moda;B
2011;146;Escala, Conversão de unidades, Proporcionalidade;C
2011;147;Geometria espacial, Sólidos de revolução;E
2011;148;Conversão de unidades, Proporcionalidade;C
2011;149;Geometria analítica, Distância entre pontos, Plano cartesiano;B
2011;150;Expressões algébricas, Razão, Interpretação de fórmulas;A
2011;151;Geometria plana, Simetria de rotação;D
2011;152;Proporcionalidade, Regra de três, Operações com racionais;E
2011;153;Estatística, Média aritmética, Leitura de tabela;C
2011;154;Função afim, Proporcionalidade direta, Gráficos;E
2011;155;Porcentagem, Juros simples, Análise financeira;D
2011;156;Razão, Porcentagem, Interpretação de tabelas;B
2011;157;Trigonometria, Geometria plana;B
2011;158;Função afim, Progressão aritmética, Modelagem algébrica;C
2011;159;Progressão aritmética, Sequências numéricas;D
2011;160;Equação do 1º grau, Função afim, Comparação de custos;A
2011;161;Porcentagem, Operações com racionais;C
2011;162;Razão, Densidade demográfica;B
2011;163;Probabilidade, Interpretação de gráficos;E
2011;164;Potência elétrica, Consumo de energia, Proporcionalidade;D
2011;165;Fórmulas algébricas, Razão, Interpretação de tabelas;B
2011;166;Geometria plana, Comprimento de circunferência, Arcos;A
2011;167;Proporcionalidade, Porcentagem;D
2011;168;Análise combinatória, Probabilidade;C
2011;169;Geometria espacial, Volume do cilindro, Razão;C
2011;170;Probabilidade, Interpretação de gráficos estatísticos;D
2011;171;Probabilidade, Estatística, Leitura de tabelas;C
2011;172;Função afim, Inequações, Análise de lucro;D
2011;173;Análise de gráficos de função afim;D
2011;174;Proporcionalidade, Expressões algébricas, Modelagem;C
2011;175;Juros compostos, Função exponencial, Comparação de taxas;C
2011;176;Análise combinatória, Ordenação, Sistema de numeração;E
2011;177;Porcentagem, Estatística, Interpretação de gráficos;C
2011;178;Ordem de grandeza, Proporcionalidade, Leitura de tabelas;A
2011;179;Teoria dos grafos, Caminhos, Raciocínio lógico;C
2011;180;Interpretação de gráficos, Análise temporal;C
2012;136;Razão e proporção, Regra de três, Interpretação de texto;A
2012;137;Geometria plana, Área de figuras planas, Proporcionalidade;B
2012;138;Função afim, Análise de gráficos, Taxa de variação;E
2012;139;Estatística, Média aritmética, Interpretação de tabela;E
2012;140;Porcentagem, Acréscimos e decréscimos percentuais;E
2012;141;Geometria espacial, Volume de prismas;B
2012;142;Conversão de unidades, Sistema métrico decimal;C
2012;143;Função exponencial, Crescimento populacional;E
2012;144;Probabilidade, Análise combinatória simples;E
2012;145;Geometria plana, Teorema de Pitágoras;B
2012;146;Escala, Proporcionalidade, Medidas de comprimento;C
2012;147;Estatística, Gráficos de setores;E
2012;148;Razão, Densidade, Interpretação de dados;C
2012;149;Geometria analítica, Distância entre pontos;B
2012;150;Função afim, Sistemas lineares, Modelagem algébrica;A
2012;151;Porcentagem, Juros simples;D
2012;152;Progressão aritmética, Sequências numéricas;E
2012;153;Geometria espacial, Volume do cilindro;C
2012;154;Probabilidade, Eventos independentes;E
2012;155;Função quadrática, Análise de gráfico;D
2012;156;Estatística, Mediana, Interpretação de dados;B
2012;157;Trigonometria, Razões trigonométricas no triângulo retângulo;B
2012;158;Escala, Área, Conversão de unidades;C
2012;159;Função exponencial, Decaimento;D
2012;160;Geometria plana, Comprimento de circunferência;A
2012;161;Porcentagem, Análise financeira;C
2012;162;Análise combinatória, Princípio multiplicativo;B
2012;163;Estatística, Leitura de gráfico de linhas;E
2012;164;Razão e proporção, Regra de três composta;D
2012;165;Geometria espacial, Volume da esfera;B
2012;166;Função afim, Inequações;A
2012;167;Probabilidade, Espaço amostral;D
2012;168;Progressão geométrica, Crescimento exponencial;C
2012;169;Geometria plana, Semelhança de triângulos;C
2012;170;Estatística, Média ponderada;D
2012;171;Função quadrática, Máximo e mínimo;C
2012;172;Conversão de unidades, Consumo de energia elétrica;D
2012;173;Razão, Proporcionalidade direta;D
2012;174;Probabilidade, Interpretação de tabela;C
2012;175;Juros compostos, Função exponencial;C
2012;176;Geometria analítica, Equação da reta;E
2012;177;Estatística, Desvio e dispersão de dados;C
2012;178;Análise combinatória, Arranjos simples;A
2012;179;Geometria espacial, Área lateral e total de sólidos;C
2012;180;Interpretação de gráficos, Análise de variação;C
2013;136;Razão e proporção, Regra de três;C
2013;137;Geometria plana, Área de figuras planas;A
2013;138;Estatística, Média aritmética, Interpretação de gráfico;A
2013;139;Função afim, Análise de gráfico;C
2013;140;Porcentagem, Acréscimos e decréscimos percentuais;D
2013;141;Geometria espacial, Volume de sólidos;D
2013;142;Conversão de unidades, Sistema métrico decimal;A
2013;143;Probabilidade, Espaço amostral;E
2013;144;Função exponencial, Crescimento;E
2013;145;Geometria plana, Teorema de Pitágoras;B
2013;146;Escala, Proporcionalidade;A
2013;147;Estatística, Gráfico de setores;C
2013;148;Razão, Densidade;E
2013;149;Geometria analítica, Distância entre pontos;D
2013;150;Função afim, Modelagem algébrica;B
2013;151;Porcentagem, Juros simples;C
2013;152;Progressão aritmética;A
2013;153;Geometria espacial, Volume do cilindro;A
2013;154;Probabilidade, Eventos independentes;B
2013;155;Função quadrática, Análise de gráfico;B
2013;156;Estatística, Mediana;E
2013;157;Trigonometria, Razões trigonométricas;B
2013;158;Escala, Área, Conversão de unidades;E
2013;159;Função exponencial, Decaimento;D
2013;160;Geometria plana, Comprimento de circunferência;C
2013;161;Porcentagem, Análise financeira;B
2013;162;Análise combinatória, Princípio multiplicativo;B
2013;163;Estatística, Gráfico de linhas;D
2013;164;Razão e proporção, Regra de três composta;C
2013;165;Geometria espacial, Volume da esfera;E
2013;166;Função afim, Inequações;C
2013;167;Probabilidade;B
2013;168;Progressão geométrica;D
2013;169;Geometria plana, Semelhança de triângulos;A
2013;170;Estatística, Média ponderada;D
2013;171;Função quadrática, Máximo e mínimo;C
2013;172;Conversão de unidades, Consumo de energia;B
2013;173;Proporcionalidade direta;A
2013;174;Probabilidade, Interpretação de tabela;D
2013;175;Juros compostos, Função exponencial;C
2013;176;Geometria analítica, Equação da reta;D
2013;177;Estatística, Dispersão de dados;E
2013;178;Análise combinatória, Arranjos;E
2013;179;Geometria espacial, Área total de sólidos;D
2013;180;Interpretação de gráficos, Variação temporal;C
2014;136;Razão e proporção, Regra de três;C
2014;137;Geometria plana, Área de polígonos;E
2014;138;Estatística, Média e interpretação de gráfico;C
2014;139;Função afim, Taxa de variação;A
2014;140;Porcentagem, Juros simples;C
2014;141;Geometria espacial, Volume de prismas;B
2014;142;Conversão de unidades;C
2014;143;Probabilidade;A
2014;144;Função exponencial;B
2014;145;Geometria plana, Pitágoras;A
2014;146;Escala, Proporcionalidade;B
2014;147;Estatística, Gráfico de colunas;D
2014;148;Razão, Densidade demográfica;B
2014;149;Geometria analítica, Distância entre pontos;D
2014;150;Função afim, Modelagem;A
2014;151;Porcentagem;D
2014;152;Progressão aritmética;C
2014;153;Geometria espacial, Volume do cone;D
2014;154;Probabilidade, Eventos dependentes;A
2014;155;Função quadrática;E
2014;156;Estatística, Mediana;A
2014;157;Trigonometria;E
2014;158;Escala, Área;C
2014;159;Função exponencial;B
2014;160;Geometria plana, Circunferência;B
2014;161;Porcentagem, Análise financeira;C
2014;162;Análise combinatória;A
2014;163;Estatística, Gráfico de linhas;E
2014;164;Razão e proporção;A
2014;165;Geometria espacial, Volume da esfera;D
2014;166;Função afim, Inequações;B
2014;167;Probabilidade;E
2014;168;Progressão geométrica;D
2014;169;Geometria plana, Semelhança;B
2014;170;Estatística, Média ponderada;E
2014;171;Função quadrática;C
2014;172;Conversão de unidades, Energia elétrica;B
2014;173;Proporcionalidade direta;D
2014;174;Probabilidade, Tabelas;E
2014;175;Juros compostos;C
2014;176;Geometria analítica, Reta;E
2014;177;Estatística, Variabilidade;D
2014;178;Análise combinatória;D
2014;179;Geometria espacial, Área de sólidos;D
2014;180;Interpretação de gráficos;C
2015;136;Razão e proporção, Regra de três;E
2015;137;Geometria plana, Área de figuras planas;B
2015;138;Estatística, Interpretação de gráfico;C
2015;139;Função afim, Taxa de variação;C
2015;140;Porcentagem, Acréscimos percentuais;B
2015;141;Geometria espacial, Volume de prismas;E
2015;142;Conversão de unidades, Sistema métrico decimal;E
2015;143;Probabilidade, Espaço amostral;D
2015;144;Função exponencial, Crescimento;A
2015;145;Geometria plana, Teorema de Pitágoras;B
2015;146;Escala, Proporcionalidade;D
2015;147;Estatística, Gráfico de setores;B
2015;148;Razão, Densidade;D
2015;149;Geometria analítica, Distância entre pontos;E
2015;150;Função afim, Modelagem algébrica;C
2015;151;Porcentagem, Juros simples;D
2015;152;Progressão aritmética;A
2015;153;Geometria espacial, Volume do cilindro;C
2015;154;Probabilidade, Eventos independentes;C
2015;155;Função quadrática, Análise de gráfico;E
2015;156;Estatística, Mediana;D
2015;157;Trigonometria, Razões trigonométricas;C
2015;158;Escala, Área, Conversão de unidades;C
2015;159;Função exponencial, Decaimento;E
2015;160;Geometria plana, Comprimento de circunferência;C
2015;161;Porcentagem, Análise financeira;A
2015;162;Análise combinatória, Princípio multiplicativo;A
2015;163;Estatística, Gráfico de linhas;E
2015;164;Razão e proporção, Regra de três composta;A
2015;165;Geometria espacial, Volume da esfera;D
2015;166;Função afim, Inequações;C
2015;167;Probabilidade;B
2015;168;Progressão geométrica;E
2015;169;Geometria plana, Semelhança de triângulos;D
2015;170;Estatística, Média ponderada;A
2015;171;Função quadrática, Máximo e mínimo;E
2015;172;Conversão de unidades, Consumo de energia elétrica;A
2015;173;Proporcionalidade direta;C
2015;174;Probabilidade, Interpretação de tabela;A
2015;175;Juros compostos, Função exponencial;B
2015;176;Geometria analítica, Equação da reta;A
2015;177;Estatística, Dispersão de dados;D
2015;178;Análise combinatória, Arranjos simples;D
2015;179;Geometria espacial, Área total de sólidos;B
2015;180;Interpretação de gráficos, Análise de variação;B
2016;136;;C
2016;137;;E
2016;138;;E
2016;139;;C
2016;140;;D
2016;141;;B
2016;142;Geometria Espacial, Volume de sólidos (cilindro e cone), Divisão inteira;D
2016;143;Escalas, Proporcionalidade, Porcentagem;A
2016;144;Conversão de unidades, Medidas de comprimento;D
2016;145;Geometria Espacial, Projeções ortogonais;E
2016;146;Razão, Estatística descritiva (comparação de desempenho);B
2016;147;Logaritmos, Escala Richter;C
2016;148;Regra de três, Porcentagem, Conversão de unidades;C
2016;149;Geometria Espacial, Interseção de planos com pirâmides;E
2016;150;Função Afim, Gráficos de funções, Vazão;B
2016;151;Porcentagem, Estatística (índice de infestação);A
2016;152;Geometria Plana, Relações métricas em polígonos, Comparação de medidas;B
2016;153;Funções periódicas, Gráficos, Contagem de interseções;E
2016;154;Geometria Analítica, Área sob parábola, Proporcionalidade;C
2016;155;Análise Combinatória, Permutação, Arranjos;E
2016;156;Estatística, Índice de Gini, Áreas de gráficos;A
2016;157;Geometria Espacial, Distâncias em grade cartesiana;C
2016;158;Equações algébricas, Área de figuras planas;B
2016;159;Média aritmética, Estatística descritiva;D
2016;160;Razão e Proporção, Densidade;A
2016;161;Regra de três, Consumo de combustível;B
2016;162;Progressões aritméticas, Mínimo múltiplo comum;D
2016;163;Geometria Analítica, Comprimento de segmentos, Circunferência;B
2016;164;Estatística, Moda;D
2016;165;Porcentagem, Variação relativa;D
2016;166;Função Afim, Gráficos lineares;A
2016;167;Média aritmética, Proporcionalidade;B
2016;168;Função Exponencial, Logaritmos;D
2016;169;Geometria Espacial, Volume de paralelepípedo;D
2016;170;Porcentagem, Proporcionalidade;E
2016;171;Lucro, Porcentagem, Regra de três;C
2016;172;Análise Combinatória, Probabilidade;A
2016;173;Sistema de numeração decimal, Valor posicional;D
2016;174;Função Afim, Vazão, Gráficos lineares;C
2016;175;;C
2016;176;;E
2016;177;;A
2016;178;;C
2016;179;;B
2016;180;;A
2017;136;Análise Combinatória (Princípio Fundamental da Contagem);E
2017;137;Progressão Aritmética / Análise Combinatória;E
2017;138;Probabilidade (Probabilidade Condicional/Total);C
2017;139;Funções (Grandezas Proporcionais e Vazão);A
2017;140;Interpretação de Gráficos (Cinemática/Estatística);C
2017;141;Geometria Plana (Área de Retângulo e Círculo);D
2017;142;Razão e Proporção / Operações com Números Racionais;E
2017;143;Geometria Espacial (Volume de Paralelepípedo/Cubo);C
2017;144;Geometria Plana (Transformações Geométricas - Rotação);B
2017;145;Estatística (Média Aritmética Ponderada);D
2017;146;Análise Combinatória (Combinação com Repetição);B
2017;147;Geometria Espacial (Volume) / Grandezas Proporcionais;B
2017;148;Estatística (Margem de Erro e Medidas de Dispersão);E
2017;149;Grandezas Proporcionais / Equações do 1º Grau (Tempo e Velocidade);B
2017;150;Porcentagem / Interpretação de Gráficos;A
2017;151;Geometria Espacial (Prismas);E
2017;152;Probabilidade;A
2017;153;Matemática Financeira (Juros Compostos / Valor Presente);E
2017;154;Logaritmos / Equações Exponenciais;D
2017;155;Trigonometria (Círculo Trigonométrico) / Porcentagem;B
2017;156;Funções (Hipérbole / Estudo de Gráficos);E
2017;157;Operações Básicas / Raciocínio Lógico (Otimização de Custos);C
2017;158;Razão e Proporção;B
2017;159;Interpretação de Gráficos (Análise de Funções);D
2017;160;Geometria Plana (Teorema de Pitágoras / Altura de Triângulo);D
2017;161;Geometria de Posição (Orientação e Localização);A
2017;162;Estatística (Média Aritmética);B
2017;163;Grandezas Inversamente Proporcionais (Engrenagens);D
2017;164;Análise Combinatória (Princípio Multiplicativo / Coloração);B
2017;165;Funções do 2º Grau (Otimização de Área);D
2017;166;Operações com Números Reais / Leitura de Escalas;E
2017;167;Geometria Plana (Circunferência) / Grandezas Proporcionais;A
2017;168;Interpretação de Gráficos;B
2017;169;Trigonometria (Lei dos Cossenos);D
2017;170;Comparação de Números Decimais;C
2017;171;Razão e Proporção (Escala Volumétrica);C
2017;172;Funções do 2º Grau (Parábola);D
2017;173;;A
2017;174;;E
2017;175;;A
2017;176;;C
2017;177;;B
2017;178;;B
2017;179;;A
2017;180;;C
2018;136;Geometria Analítica, Circunferência, Distâncias;A
2018;137;Geometria Espacial, Volume, Organização de sólidos;D
2018;138;Progressão aritmética, Contagem, Regra de três;C
2018;139;Matrizes, Soma de elementos, Estatística descritiva;A
2018;140;Juros compostos, Logaritmos, Valor presente;C
2018;141;Geometria Analítica, Equações de reta e circunferência;E
2018;142;Porcentagem, Estatística, Proporção;D
2018;143;Análise combinatória, Porcentagem, Equações;D
2018;144;Geometria Plana, Quadrados e triângulos, Relações métricas;A
2018;145;Geometria Espacial, Hélice, Trigonometria;B
2018;146;Probabilidade, Combinações, Urnas;E
2018;147;Proporcionalidade, Áreas, Escalas;B
2018;148;Geometria Analítica, Inequações, Conjunto de pontos;B
2018;149;Função Exponencial, Logaritmos, Lei de Moore;C
2018;150;Equações algébricas, Regra de três, Financiamento;B
2018;151;Probabilidade, Estatística, Multiplicação de valores;C
2018;152;Geometria Espacial, Cubo, Completar sólidos;A
2018;153;Geometria Plana, Áreas de círculos, Tangência;D
2018;154;Probabilidade, Combinatória, Tabuleiro;D
2018;155;Função Afim, Porcentagem, Inclinação de rampa;A
2018;156;Sequências, Progressões, Contagem de andares;C
2018;157;Análise Combinatória, Arranjos, Escolha de elementos;C
2018;158;Média ponderada, Porcentagem, Equações;C
2018;159;Probabilidade, Estatística, Proporção;D
2018;160;Função inversa quadrática, Gravitação, Proporcionalidade;E
2018;161;Mistura de substâncias, Regra de três, Proporção;B
2018;162;Tempo médio, Regra de três, Comparação de filas;B
2018;163;Média aritmética, Estatística descritiva;D
2018;164;Geometria Plana, Funções, Gráficos;A
2018;165;Geometria Plana, Ângulos, Circunferência;E
2018;166;Estatística, Método de Borda, Contagem;E
2018;167;Questão incompleta no arquivo enviado;D
2018;168;Função Exponencial, Logaritmos;B
2018;169;Geometria Espacial, Volume de sólidos;E
2018;170;Porcentagem, Proporção, Leis trabalhistas;ANULADO
2018;171;Lucro, Porcentagem, Regra de três;B
2018;172;Análise Combinatória, Probabilidade;C
2018;173;Sistema de numeração decimal, Valor posicional;A
2018;174;Função Afim, Vazão, Gráficos lineares;E
2018;175;Estatística, Média, Desvio padrão;D
2018;176;Proporcionalidade, Medidas geométricas;A
2018;177;Interpretação de gráficos, Condições lógicas;B
2018;178;Função Afim, Coeficiente angular, Gráficos;A
2018;179;Função Inversa, Proporcionalidade, Modelagem matemática;D
2018;180;Porcentagem, Estatística, Crescimento infantil;A
2019;136;Notação Científica;D
2019;137;Grandezas Proporcionais (Funções);B
2019;138;Probabilidade;E
2019;139;Porcentagem e Operações com Reais;B
2019;140;Geometria Espacial (Vistas e Projeções);A
2019;141;Matemática Financeira (Juros Compostos/Logaritmo);C
2019;142;Escala (Razão e Proporção);A
2019;143;Geometria Plana (Área de Polígonos);B
2019;144;Estatística (Mediana);C
2019;145;Análise Combinatória (Arranjo/Permutação);D
2019;146;Geometria Espacial (Volume de Cilindro);B
2019;147;Geometria Espacial (Vistas e Projeções);A
2019;148;Porcentagem e Raciocínio Lógico;B
2019;149;Razão e Proporção (Velocidade Média);E
2019;150;Função Afim (Gráficos);C
2019;151;Geometria Espacial (Tronco de Pirâmide/Volume);E
2019;152;Estatística (Média Aritmética);E
2019;153;Porcentagem / Aumento e Desconto;E
2019;154;Razão e Proporção;D
2019;155;Geometria Plana (Círculos e Arcos);C
2019;156;Logaritmos (Escala Richter/Magnitude);B
2019;157;Análise Combinatória (Combinação);D
2019;158;Trigonometria (Triângulo Retângulo);C
2019;159;Estatística (Moda e Mediana);C
2019;160;Geometria Espacial (Planificação de Sólidos);E
2019;161;Funções (Análise Gráfica / Pontos de Máximo);D
2019;162;Geometria Plana (Áreas e Proporções);C
2019;163;Análise Combinatória (Permutação com Repetição);D
2019;164;Porcentagem e Razão;A
2019;165;Geometria Espacial (Volume de Prismas);B
2019;166;Matemática Financeira (Sistemas de Amortização);E
2019;167;Progressão Aritmética (PA);D
2019;168;Equação do 1º Grau / Problemas Lógicos;A
2019;169;Razão e Proporção (Densidade Demográfica);A
2019;170;Probabilidade Espacial / Geometria;D
2019;171;Estatística (Média, Moda e Mediana);D
2019;172;Geometria Analítica (Distância entre Pontos);D
2019;173;Funções (Modelagem Matemática);E
2019;174;Geometria Plana (Teorema de Pitágoras / Triângulos);C
2019;175;Probabilidade (Eventos Independentes);A
2019;176;Função Trigonométrica (Período e Amplitude);C
2019;177;Razão e Proporção (Escala);A
2019;178;Estatística (Média Ponderada);E
2019;179;Interpretação de Gráficos e Tabelas;C
2019;180;Estatística (Média e Projeção);B
2020;136;Porcentagem / Interpretação de Gráficos;C
2020;137;Operações Básicas / Raciocínio Lógico;A
2020;138;Logaritmo / Função Exponencial (Meia-vida);B
2020;139;Escala (Razão e Proporção);C
2020;140;Geometria Espacial (Vistas e Projeções);A
2020;141;Estatística (Média Aritmética);A
2020;142;Razão e Proporção;C
2020;143;Geometria Plana (Áreas e Perímetros);C
2020;144;Análise Combinatória (Arranjo/Permutação);A
2020;145;Porcentagem / Operações com Reais;C
2020;146;Estatística (Mediana);D
2020;147;Geometria Espacial (Volume de Prismas);A
2020;148;Equação do 1º Grau / Problemas Lógicos;B
2020;149;Funções (Análise de Gráficos);E
2020;150;Geometria Espacial (Projeção Ortogonal);E
2020;151;Funções (Comportamento de Função);E
2020;152;Geometria Plana (Circunferência e Arcos);B
2020;153;Porcentagem / Razão e Proporção;A
2020;154;Estatística (Moda, Média e Mediana);E
2020;155;Geometria Espacial (Sólidos de Revolução);C
2020;156;Análise Combinatória (Combinação);ANULADO
2020;157;Geometria Plana (Congruência e Semelhança);C
2020;158;Trigonometria (Triângulo Retângulo);C
2020;159;Logaritmos (Escala de Magnitude);C
2020;160;Probabilidade;E
2020;161;Progressão Aritmética (PA);E
2020;162;Geometria Espacial (Planificação e Cubo);D
2020;163;Matemática Financeira (Juros Compostos);B
2020;164;Funções Trigonométricas (Seno/Cosseno);A
2020;165;Estatística (Desvio Padrão);C
2020;166;Geometria Plana (Teorema de Pitágoras);C
2020;167;Análise Combinatória (Princípio Multiplicativo);D
2020;168;Geometria Espacial (Volume de Cilindro);B
2020;169;Função Quadrática (Vértice da Parábola);C
2020;170;Razão e Proporção (Velocidade e Tempo);C
2020;171;Matrizes (Operações e Interpretação);A
2020;172;Probabilidade (Eventos Independentes);B
2020;173;Geometria Plana (Área de Polígonos);B
2020;174;Razão e Proporção / Divisibilidade;C
2020;175;Geometria Analítica (Circunferência);C
2020;176;Função Afim (Interpretação de Gráficos);B
2020;177;Geometria Espacial (Volume e Vazão);D
2020;178;Estatística (Média Aritmética);D
2020;179;Interpretação de Gráficos (Vazão e Geometria);B
2020;180;Porcentagem / Sistema de Equações;B
2021;136;Função quadrática, Máximo de arrecadação, Gráficos;E
2021;137;Criptografia, Estatística (frequência de letras), Análise combinatória;C
2021;138;Estatística, Mediana;C
2021;139;Regra de três, Porcentagem, Proporção;C
2021;140;Funções trigonométricas, Movimento harmônico simples;A
2021;141;Análise dimensional, Unidades de medida;B
2021;142;Sistemas lineares, Proporção, Regra de três;B
2021;143;Regra de três, Consumo de combustível, Proporção;D
2021;144;Geometria Espacial, Áreas de superfícies, Escala;B
2021;145;Geometria Espacial, Volume de cilindro, Regra de três;D
2021;146;Gráficos, Proporção, Volume;D
2021;147;Estatística, Média aritmética;D
2021;148;Estatística, Porcentagem, Média ponderada;C
2021;149;Estatística, Coeficiente de variação, Dispersão;E
2021;150;Sistema de numeração romana, Conversão de números;D
2021;151;Sistema binário, Operações em bases numéricas;D
2021;152;Geometria Espacial, Área, Conversão de unidades;C
2021;153;Análise Combinatória, Arranjos;A
2021;154;Regra de três, Proporção, Custo-benefício;B
2021;155;Análise Combinatória, Permutação, Arranjos;ANULADO
2021;156;Sequências, Proporção áurea, Potências;E
2021;157;Geometria Espacial, Projeções ortogonais, Cubo;E
2021;158;Estatística, Média aritmética, Comparação;E
2021;159;Estatística, Média ponderada, Classificação;B
2021;160;Função Afim, Modelagem matemática;A
2021;161;Probabilidade, Complemento de eventos;B
2021;162;Geometria Espacial, Planificação de sólidos, Octaedro;E
2021;163;Geometria Plana, Triângulo equilátero, Perímetro;D
2021;164;Geometria Espacial, Volume de tronco de cone;C
2021;165;Geometria Plana, Ângulos, Circunferência;E
2021;166;Estatística, Método de Borda, Contagem;D
2021;167;Questão incompleta no arquivo enviado;C
2021;168;Função Exponencial, Logaritmos;C
2021;169;Geometria Espacial, Volume de sólidos;A
2021;170;Porcentagem, Proporção, Leis trabalhistas;E
2021;171;Lucro, Porcentagem, Regra de três;B
2021;172;Análise Combinatória, Probabilidade;A
2021;173;Sistema de numeração decimal, Valor posicional;D
2021;174;Função Afim, Vazão, Gráficos lineares;B
2021;175;Estatística, Média, Desvio padrão;C
2021;176;Proporcionalidade, Medidas geométricas;C
2021;177;Interpretação de gráficos, Condições lógicas;E
2021;178;Função Afim, Coeficiente angular, Gráficos;C
2021;179;Função Inversa, Proporcionalidade, Modelagem matemática;D
2021;180;Porcentagem, Estatística, Crescimento infantil;A
2022;136;Estatística (Média Aritmética);B
2022;137;Geometria Espacial (Projeção Ortogonal);E
